Distance,Speed_HAM,Throttle_HAM,Brake_HAM,DRS_HAM,Speed_LEC,Throttle_LEC,Brake_LEC,DRS_LEC
1722.9169006861648,213.0,100.0,False,0,209.33999104,100.0,False,0
1723.0944899737838,213.10714514285715,100.0,False,0,209.33999104,100.0,False,0
1732.7575254861647,218.7857097142857,100.0,False,0,219.0,100.0,False,0
1740.0669699306088,223.0,100.0,False,0,219.0,100.0,False,0
1743.941846843879,224.99285302857143,100.0,False,0,219.0,100.0,False,0
1757.9907357327677,232.0,100.0,False,0,219.0,99.7416672,False,0
1762.0023079219236,232.92999808,99.69000064,False,0,219.0,99.0,False,0
1771.0106412552568,235.0,99.0,False,0,219.0,99.0,False,0
1784.2328634774788,238.0,99.0,False,0,237.3874992,99.0,False,0
1787.014430129212,238.41999872,99.0,False,0,238.0,99.0,False,0
1797.5477634625454,240.0,99.0,False,0,238.81999872,99.0,False,0
1801.6944439905453,240.7749984,99.2583328,False,0,240.61999872,99.0,False,0
1813.7094439905457,243.0,100.0,False,0,242.0,99.0,False,0
1824.5094439905454,243.0,100.0,False,0,246.0,99.0,False,0
1828.6944439905458,243.0,100.0,False,0,246.0,99.0,False,0
1835.3094439905458,243.0,100.0,False,0,246.34444373333332,99.0,False,0
1840.8724606134792,244.22999808,100.0,False,0,246.34444373333332,99.0,False,0
1853.2189605174792,246.92999808,100.0,False,0,248.0,99.0,False,0
1862.763960517479,249.0,100.0,False,0,248.0,99.0,False,0
1865.673860502546,249.41999872,100.0,False,0,248.0249984,99.0,False,0
1876.6899716136572,251.0,100.0,False,0,250.5249984,99.0,False,0
1881.0157154346941,251.17222186666666,100.0,False,0,251.0,99.0,False,0
1897.8049746702497,251.83888853333335,100.0,False,0,251.0,99.0,False,0
1901.8649746702497,252.0,100.0,False,0,251.0,99.0,False,0
1913.020530225805,251.0,100.0,False,0,251.0,99.59545425454546,False,0
1913.1599746702495,251.0,100.0,False,0,251.0,99.59545425454546,False,0
1927.1044191146937,251.0,100.0,False,0,251.0,100.0,False,0
1929.7538635591384,251.0,100.0,False,0,251.0,100.0,False,0
1941.022827865424,250.42142902857142,100.0,False,0,250.77857188571429,100.0,False,0
1949.2172723098686,250.0,100.0,False,0,250.0,100.0,False,0
1953.5204011027572,249.8590912,100.0,False,0,250.0,100.0,False,0
1967.376209199727,249.40454574545456,100.0,False,0,250.0,100.0,False,0
1979.6878758663936,249.0,100.0,False,0,250.0,100.0,False,0
1983.9685822313459,248.55714377142857,100.0,False,0,250.0,100.0,False,0
1998.9258044535684,247.0,100.0,False,0,250.0,99.82777813333334,False,0
1999.0630211205903,246.99000064,99.91000576,False,0,250.0,99.82777813333334,False,0
2010.0047989268128,246.19000064,92.71000576,False,0,250.0,99.0,False,0
2012.6014655934791,246.0,91.0,False,0,250.0,99.0,False,0
2027.7286843681459,245.3062504,91.0,False,0,250.0,99.0,False,0
2034.3981288125904,245.0,91.0,False,0,250.0,99.38558037000449,False,0
2038.617573257035,245.0,90.4833344,False,0,250.0,99.38558037000449,False,0
2058.89812881259,245.0,88.0,False,0,247.8999936,100.0,False,0
2065.8277538277016,244.57500053333334,88.0,False,0,243.0,100.0,False,0
2075.1810871610346,244.0,88.0,False,0,243.0250016,100.0,False,0
2083.517753827701,244.0,92.62696444005383,False,0,244.0,100.0,False,0
2096.802198272146,244.0,100.0,False,0,243.0,100.0,False,0
2102.4885315841457,243.6999990857143,100.0,False,0,242.8113634909091,100.0,False,0
2115.718531584146,243.0,100.0,False,0,242.1295458909091,100.0,False,0
2115.9885038045904,242.9749984,100.0,False,0,242.1295458909091,100.0,False,0
2126.475170471257,242.0,100.0,False,0,242.0,100.0,False,0
